word,score
応用,0.00859628
子育て,0.010571372
政策協定,-0.005509455
住宅街,0.014590299
たてる,-0.009333083
戻り始める,0.005000163
回線,-0.034033698
寄り,-0.006215605
使われない,0
肇,0.021452125
ストライキ,-0.023804109
ストライク,0.008790006
日曜日,0.007452484
まじめ,0.013596552
恵まれる,0.007534472
説得,-0.003439354
一体,-0.023814607
短い,-0.029090961
二兎,-0.005208548
慶州,0.0141646
追わない,-0.013308364
まぎれる,0.006622826
譲らぬ,-0.004129907
都道府県,-0.008802467
追われる,-0.016128771
グリーン,-0.024261686
官僚,-0.002717011
深刻,0.00473996
ブランド,0.001584163
物流コスト,0.012294712
なれない,0.029145521
月例経済報告,-0.009893815
引きずられる,-0.007906877
ドライ,-0.029517302
代理,-0.024156695
商談,-0.03075914
成案,0.001544749
誤解,-0.03528736
ケインズ,-0.010902717
次世代半導体,-0.015875287
金ケ崎,-0.014262676
助ける,-0.007860727
落胆,-0.023758013
切り下げる,-0.021934428
潤す,0.008648188
章,0.006540501
不動産賃貸,0
競技場,0.00347478
革新,0.041353577
喜べない,0.006144411
全会,-0.022305407
クレジットカード,-0.017311139
前野,0.020399744
充満,0.009742333
在中,0.00483559
前方,-0.004047376
平準,0.002972433
木村,-0.001029275
木材,-0.000801943
突き当たる,0.008285381
され下げ渋る,-0.038394627
正已,0.03360735
多目的,-0.018306405
システム,-0.008331196
野副,-0.044421257
テープ,-0.0150859
今週,-0.016204976
計器,-0.009712126
衣類,0.02576001
ショールーム,-0.034801339
囲み,-0.00047803
テーマ,0.037787047
原因,-0.050618622
リンチ,0.010065175
注意報,0.020603513
踏み外す,-0.013660121
労働条件,-0.010356795
宇宙旅行,0
取引,-0.008198251
玄海,-0.017036451
テール,0.006023791
根っこ,0.017015564
ギリシア,0.017004095
行政改革,0.012831421
建造,-0.00296273
がれき,-0.021487905
大学,-0.001763905
軟性,0.005650805
フィルター,0.020992023
火薬,0.006966236
あんしん,0.012939975
資本参加,0.029402137
見つからない,-0.001483854
コスモ,0.020231801
立方,-0.021760029
祝う,-0.012643075
柳,-0.014472943
フランクフルト,0.025948303
っかりとなる,0.019890199
教授,0.014939502
ゴールデンウイーク,0.000162941
取りざた,-0.003200344
頼らない,0.006738067
入念,-0.009464842
大破,0.011710902
亜紀子,-0.016787801
テクノクラート,0.003603906
ともす,0.008184511
大方,0.017310382
柿,-0.022590423
ガロン,0.003816039
下期,-0.030817464
桜,-0.007509826
コスト,0.004812946
信雄,-0.010886107
ミネベア,0.015055237
論議,0.019422094
地方経済,0.00231483
案,0.010360963
人選,-0.010884834
桃,0.015548702
独立記念日,0.011352028
アイオワ,-0.007670942
台頭,-0.022462669
ミレニアム,-0.007909499
取り付ける,0.008499065
賄える,0.003110256
景気回復,0.020063506
最前線,0.016026825
前場,0.019076023
直撃,0.008376534
民需,-0.001079298
農地,0.012471262
中元,-0.019790135
おり下がる,-0.021306883
廉売,-0.004353692
源泉,-0.011807306
マッチ,-0.019714056
中高年,-0.004532362
仮想,0.00021131
日本市場,0.001854792
きめ細かい,-0.016150093
マット,0.001219768
スポンサー,-0.021789852
受け買われる,0.010304762
国際機関,0.001100058
官製,-0.007233941
鋳造,0.017247814
猶予,0.006255069
改修工事,0.016392096
不信,-0.020321528
ノートパソコン,0.004686881
告訴,0.001325822
美的,0
裏づけ,-0.017900821
割合,0.01372053
据え置く,0.015240692
満了,0.020136656
ヒット商品,-0.038949066
価格動向,0.01438568
冷戦,-0.00654537
持たれる,-0.008419749
データベース,0.003157493
国際貿易,-0.000718691
健在,-0.01293959
浅川,0.00299635
鯨井,-0.007297933
碁,0.012753228
先例,0.008075075
運ばない,0.006121052
秀直,-0.005174316
半導体製造装置,-0.016480154
癒着,0.0087183
発動,0.00151013
焼ける,-0.009627456
科せられる,-0.031098067
半身,0.018350523
わけ,0.006466147
前代未聞,0.0091808
カイロ,0.011150909
成人,-0.010332826
わざ,0.003176665
公表,-0.005613522
真ん中,0.004972326
別館,0.019783013
確実,-0.012220579
かけ離れる,-0.000979159
健常,0.00539459
確定,-0.013323467
驚,-0.00975347
利回り,-0.015967153
公衆,0.012422282
生計,-0.00957269
石油火力,-0.011676197
未満,0.008782947
自動販売機,0.010191548
見越す,0.008556797
防火,0.003915093
マツダ,0.015841113
オフィス街,0
聖地,0
地獄,-0.010479308
併記,-0.010286322
しかねない,-0.016697582
梅本,-0.016694504
ユーロ安,-0.039467923
防災,0.02343214
肺がん,0
恒夫,-0.020030545
郡山,0.023761721
立派,0.014318988
ボイコット,0
呼び水,0.009590101
規律,0.006239589
理不尽,-0.007335188
乗れる,-0.011896694
山岸,-0.000260363
済む,0.022134756
抽出,-0.002880564
数字,0.006604765
トップ,0.039756788
許せない,0.012028093
グッド,0.002404574
セ氏,0
料率,0.010693366
機関投資家,0.011717719
早急,0.011907081
併設,-0.008852022
やむを得ない,-0.012158325
昨夜,-0.030542339
免税,0.005868005
航空路,0.005449892
今日,0.023867594
春秋,0.011311627
併存,0.016008077
おっしゃる,0
頑強,0.012477993
仰ぐ,-0.000750407
鵜浦,0.016853044
アオキ,0.010088982
メダル,0
経路,0.003748704
偉業,0.013230355
積極,0.264749792
佐賀,0.007953499
住まい,0.010829746
甲状腺,-0.010256562
復活,0.000237989
提唱,0.014644304
為替差損,-0.787701523
過剰在庫,-0.489836884
人材確保,0.245916548
減益,-1.306171823
加えられる,0.021680721
振り替え,-0.002508742
闘う,-0.010322508
限度,-0.013113003
宣戦,-0.008282763
実質経済成長率,-0.012788869
東風,-0.006685469
塗り替わる,0.007914697
整理,0.00848297
抜けられる,0.006820144
パター,0.010708541
プレッシャー,0.040714213
坂田,0
田端,0.007436522
売り進む,-0.007958259
梁瀬,0.014096098
代替エネルギー,0.002971116
尖閣諸島,0.005511193
単結晶,0.002517766
翻訳,0.016648556
柚木,-0.010969655
絞り込み,0.009614242
採られる,0.009534573
ぶり,0.010440075
決まらない,0.013236984
資金供給,-0.013026341
車庫,0.007921387
西尾,0.025380852
瞬く,0.004694742
歯車,-0.014022969
預ける,0.011291196
経済界,-0.003962874
殺虫剤,-0.018020823
来年度,0.024051306
登記,-0.008069852
両国,-0.012232606
大気汚染,0.003373428
危惧,-0.012698906
チップセット,-0.00500317
マイナー,0.001943337
ストリーム,0.013476689
本末転倒,0.012101223
約定,-0.027438863
家計,-0.014803772
同省,-0.015116344
詳しい,0.003240302
トップクラス,0.016181538
みない,-0.024166628
細分,0.009167468
三越,-0.009440754
滋賀,0.031741604
真っ向,-0.003194056
生物学,0.007488688
減らせない,0.008379832
ジッダ,-0.005942567
危ぶまれる,-0.018526062
母国,-0.018124901
市場開放,0.014205608
青島,-0.00792092
売り直される,-6.65258E-05
進展,0.295972496
し尽くす,0.01842386
もたらすだろう,0.014759158
制する,0.002762378
引き換え,-0.015451454
ロイヤリティ,-0.016264147
反証,0.026162676
収益,-0.021843221
突破,0.001491847
隅々,-0.007360523
素粒子,0.004064844
加権指数,0.0205264
移転,-0.021986617
射幸,-0.014865679
標準,-0.025207884
菓子,-0.013506614
ベラ,0
潰せない,-0.009267459
昨晩,-0.013105403
健全,-0.015347354
コック,-0.021468967
分け合う,-0.006469462
南西諸島,0
繰り延べ,0.00051386
し切れない,-0.014152671
尽きる,-0.015909442
いろある,0.01614886
下げ渋り買い戻す,0.009109474
下向き,-0.005230535
フロア,-0.00344201
戦えない,-0.00729028
ネック,0.004427189
悟,0.004439207
採る,-0.003547852
調子,0.01298492
ワイン,-0.01571892
無担保債,-0.003323149
オリオン,-0.006041854
造り,0.01586473
造る,0.000162054
昭和シェル石油,0.01082791
ポータブル,-0.004194677
見劣り,-0.022559992
章弘,0.009620557
及ぼし始める,0.005853689
起こりうる,0.007889218
否めない,-0.006641874
パス,-0.0028537
課される,-0.024940303
拡がり,-0.010072467
昌宏,-0.014025777
根本,-0.003151081
二の足,-0.01089719
ワイオミング,-0.009704283
政界,0.007638971
和歌山,-0.036671572
有罪,-0.014911138
悪,-0.034145698
パイ,-0.003073928
働かぬ,-0.007475878
上回らない,0
伸び悩む,0.029611784
官報,0.003419263
飛行機,0.012418719
とん挫,0.005232293
拡がる,0.006202584
高まり,0.365631872
高まる,0.034185714
同国,0.021284258
痛恨,-0.008665868
呼び寄せる,0.009668621
ガス管,0.011584909
出す,-0.014768994
商船,-0.012509704
結ぶ,-0.005636417
出し,-0.000236443
上がり,0.025866562
結び,0.005004619
生じる,-0.055929377
松下,-0.021088605
