,word,score
608,まごまご,-1
609,まだるっこい,-1
610,ままならない,-1
611,みすぼらしい,-1
612,みっともない,-1
613,みにくい,-1
614,みみっちい,-1
615,むかむか,-1
616,むごい,-1
617,むごたらしい,-1
618,むさい,-1
619,むさくるしい,-1
620,むっと,-1
621,むなぐるしい,-1
622,むなしい,-1
623,めそめそ,-1
624,めちゃくちゃ,-1
625,めちゃめちゃ,-1
626,めんどう,-1
627,めんどうくさい,-1
628,めんどくさい,-1
629,もう,-1
630,もたつき,-1
631,もっさり,-1
632,もったいない,-1
633,もってのほか,-1
634,もどかしい,-1
635,ものうい,-1
636,ものすさまじい,-1
637,ものたりない,-1
638,もの狂おしい,-1
639,もの凄まじい,-1
640,もの悲しい,-1
641,やかましい,-1
642,やきもき,-1
643,やっかい,-1
644,やにっこい,-1
645,やばい,-1
646,やぶさか,-1
647,やぼ,-1
648,やぼったい,-1
649,やましい,-1
650,ややこしい,-1
651,やりきれない,-1
652,やり切れない,-1
653,やるせない,-1
654,やわ,-1
655,やわい,-1
656,ゆゆしい,-1
657,ゆるい,-1
658,よけい,-1
659,よそよそしい,-1
660,よれよれ,-1
661,よれる,-1
662,よわい,-1
663,よんどころない,-1
664,らち,-1
665,ろくでなし,-1
666,わいせつ,-1
667,わかる,-1
668,わざとらしい,-1
669,わずらわしい,-1
670,わびしい,-1
671,わや,-1
672,わやく,-1
673,アウト,-1
674,アホ,-1
675,アン,-1
676,イカ,-1
677,イマイチ,-1
678,イレギュラ,-1
679,イレギュラー,-1
680,インチキ,-1
681,インパクト,-1
682,エキセントリック,-1
683,エゴイスト,-1
684,エッチ,-1
685,オーソドックス,-1
686,オマケ,-1
687,オモチャ,-1
688,オヤジ,-1
689,オリジナリティ,-1
690,カッコ,-1
691,ガキ,-1
692,ガタ落ち,-1
693,ガチガチ,-1
694,キズ,-1
695,キツイ,-1
696,キリ,-1
697,ギクシャク,-1
698,ギュウギュウ,-1
699,クセ,-1
700,グルーミー,-1
701,グロ,-1
702,グロッキー,-1
703,グロテスク,-1
704,コワい,-1
705,ショッキング,-1
706,ショック,-1
707,ショボ,-1
708,シリアス,-1
709,ジャジャ馬,-1
710,ズレる,-1
711,センス,-1
712,ダーティ,-1
713,ダーティー,-1
714,ダサい,-1
715,チグハグ,-1
716,チャチ,-1
