,word,score
577,ずぼら,-1
578,ずる,-1
579,ずれ,0
580,せかせか,-1
581,せき,-1
582,せき払い,-1
583,せせら笑い,-1
584,せつなさ,-1
585,せり,0
586,せり上げ,0
587,ぜんそく,-1
588,ぜん息,-1
589,そいつ,0
590,そいつら,0
591,そういうの,0
592,そしり,-1
593,そそくさ,0
594,そっと,0
595,そつ,0
596,そねみ,-1
597,その間,0
598,その場しのぎ,-1
599,その場逃れ,-1
600,その他,0
601,その道,0
602,そり,0
603,そり味,0
604,それきり,-1
605,それきり・それっきり,-1
606,それっきり,-1
607,それなり,1
608,ぞうり,0
609,たおやか,1
610,たくさん,0
611,たくましさ,1
612,たしなみ,1
613,たたずまい,1
614,ただれ,-1
615,ただれ目,-1
616,ただ事,0
617,ただ者,0
618,たっぷり,1
619,たね,0
620,ため,1
621,ためらい傷,-1
622,ため息,-1
623,たらい回し,-1
624,たるみ,-1
625,たわし,0
626,だみ声,-1
627,だらしなさ,-1
628,だらだら,-1
629,だらっと,-1
630,だらりと,-1
631,だらんと,-1
632,だるさ,-1
633,だれ気味,-1
634,ちゃめっ気,1
635,ちゃらんぽらん,-1
636,ちょい役,-1
637,ちょっかい,-1
638,ちょんぼ,-1
639,つき,0
640,つぐみ,0
641,つじ強盗,-1
642,つっけんどん,-1
643,つつましやか,1
644,つながり,1
645,つばさ,0
646,つまずき,-1
647,つまらなさ,-1
648,つまり,0
649,つもり,0
650,つや,1
651,つらさ,-1
652,つわもの,1
653,つわり,-1
654,ていねい,1
655,てんかん,-1
656,てんこ盛り,1
657,てんやわんや,-1
658,できもの,-1
659,でこぼこ,-1
660,でたらめ,-1
661,でっち上げ,-1
662,でんぷん,0
663,というわけ,0
664,とがめ,-1
665,とがめ立て,0
666,とがり声,-1
667,ときめき,1
668,とどめ,-1
669,とばっちり,-1
670,とまどい,-1
671,ともえ投げ,0
672,どきどき,0
673,どぎまぎ,-1
674,どさくさ,-1
675,どたキャン,-1
676,どら声,-1
677,どんぐり,0
678,どんでん返し,-1
679,どん底,-1
680,ど根性,1
681,なくて七癖,0
682,なぞ,0
683,なだらか,1
684,なつかしさ,1
685,なぶり殺し,-1
686,なまくら,-1
687,なまず,0
688,なめらか,1
689,なめらかさ,1
690,ならず者,-1
691,におい,0
692,にきび,-1
693,にぎやか,1
694,にぎわい,1
695,にこにこ顔,1
696,ぬかるみ,-1
697,ぬか喜び,-1
698,ぬくもり,1
699,ぬめり,-1
700,ぬるさ,0
701,ねぎらい,1
702,ねじれ,0
703,ねたましさ,-1
704,ねたみ,-1
705,ねんね,0
706,のぞみ,1
707,のど自慢,0
708,のど輪,0
709,ののしり,-1
710,のみの心臓,-1
711,のらくら,-1
712,のろし,0
713,のんべんだらり,-1
714,はげ,0
715,はしか,-1
716,はずみ,-1
717,はたき込み,0
718,はたけ,0
719,はたらき,1
720,はた迷惑,-1
721,はちゃめちゃ,-1
722,はっきり,0
723,はつらつ,1
724,はにかみ,0
725,はまり役,1
726,はやり風邪,-1
727,はやり目,-1
728,はらはら,-1
729,はれ,0
730,はれ物,-1
731,ばい菌,-1
732,ばか,-1
733,ばかばかしさ,-1
734,ばか笑い,0
735,ばか力,1
736,ばつ,-1
737,ばらつき,-1
738,ばらばら,0
739,ひがみ,-1
740,ひき逃げ,-1
741,ひさし,0
742,ひさしぶり,1
743,ひじ,0
744,ひじり,0
745,ひったくり,-1
746,ひととき,0
747,ひとりよがり,-1
748,ひとり相撲,-1
749,ひとり立ち,1
750,ひと月,0
751,ひと事,-1
752,ひと時,0
753,ひどさ,-1
754,ひび割れ,-1
755,ひま,0
756,ひもじさ,-1
757,ひょう疽,-1
758,ひょっとこ,-1
759,ひ弱,-1
760,びくびく,-1
761,びんた,-1
762,ぴか一,1
763,ふがいなさ,-1
764,ふくよか,1
765,ふさぎの虫,-1
766,ふしだら,-1
767,ふたり,0
768,ふち,0
769,ふるさと,0
770,ふん,-1
771,ぶおとこ,-1
772,ぶおんな,-1
773,ぶきっちょ,-1
774,ぶす,-1
775,ぶっきらぼう,-1
